"ID"	"Mass_specific_VCO2"	"Ta"	"N"	"Tb"	"Taset"	"Whole_animal_VCO2"	"ID2"
"2_17_01"	0.0241577837467839	7.10223194052354	4	8	7	0.824489788708308	"2"
"2_20_01"	0.0449722427903818	7.07367003176157	4	7.5	7	1.59237008682268	"2"
"3_21_01"	0.0526626475092529	7.01227089543505	4	9.25	7	1.53483905854478	"3"
"4_21_01"	0.00601812534645462	7.01636336258638	4	7.625	7	0.201422440098125	"4"
"5_21_01"	0.0518117261283139	7.02176406046908	3	8.5	7	1.7417091033268	"5"
"50_19_01"	0.191990556762312	7.13892581879932	3	14.0952380952381	7	6.55279845051983	"50"
"50_22_01"	0.193046397656768	6.98257348541667	3	11.7083333333333	7	6.59768868671661	"50"
"6_22_01"	0.0116762968308008	6.99711376221127	4	8.25	7	0.345674486387286	"6"
"60_19_01"	0.0703580019818033	7.11929852526311	3	10.3333333333333	7	2.57844694583613	"60"
"60_22_01"	0.0533347618012213	6.9884969730385	4	7.25	7	1.96586273886315	"60"
"8_17_01"	0.269206988884451	7.098727225	4	17.1875	7	8.60873786288325	"8"
"8_20_01"	0.554287499882329	7.08446734375	3	14.6041666666667	7	17.4807399359597	"8"
"9_17_01"	0.00325464876589513	7.11276958991182	4	8	7	0.102975438000783	"9"
"9_20_01"	0.10573335302717	7.0987069125	3	8.83333333333333	7	3.28936040612915	"9"
"10_21_01"	0.879091665582494	10.01139389375	3	16.1666666666667	10	26.3854086793507	"10"
"11_19_01"	0.0338597817652412	10.1122324780976	3	10	10	0.937303011576134	"11"
"12_17_01"	0.160265314670636	10.0829884334415	4	15.1124188311688	10	5.3943559992522	"12"
"12_20_01"	0.244157810246198	10.0091481104167	3	13.375	10	7.91718704227324	"12"
"2_17_01"	0.00679617560466367	10.0745325743201	4	10.9076797385621	10	0.232729397195036	"2"
"2_20_01"	0.00826886241629876	9.98436815443483	4	10.6105460513705	10	0.292039496189117	"2"
"3_21_01"	0.00695683060327955	10.0014849356603	4	10.5	10	0.202869971950207	"3"
"4_21_01"	0.00315587878269025	10.0096725002863	4	10.5	10	0.106145918070646	"4"
"5_21_01"	0.0996820174201806	10.0140053141504	3	12.5	10	3.37577676094474	"5"
"60_19_01"	0.13288859915191	10.1261507553606	3	13.5	10	4.8928949648079	"60"
"8_17_01"	0.464888022114658	10.085634375	4	20.859375	10	14.982010994682	"8"
"8_20_01"	0.252374688409891	9.9882552421875	4	16.4375	10	7.88837501024203	"8"
"9_17_01"	0.0523038772173957	10.067272224009	4	11.5	10	1.66137572496524	"9"
"9_20_01"	0.174197598008739	9.9931941546875	4	15.515625	10	5.36836135471775	"9"
"10_11_01"	0.0157295040918687	13.9062202380952	3	14.6666666666667	14	0.500655258812189	"10"
"10_14_01"	0.42715489430464	13.9613645833333	3	20.5	14	14.2428047764704	"10"
"11_12_01"	0.0189993574621356	13.91500375	5	14.5	14	0.513392247953399	"11"
"11_15_01"	0.0145245158693891	13.9925780208349	5	14.5	14	0.406068460605745	"11"
"12_13_01"	0.144793314765869	13.858553125	4	16.25	14	4.86115192847503	"12"
"3_13_01"	0.017542642854306	13.8502828125	4	14	14	0.488110012640567	"3"
"4_13_01"	0.0137060282821093	13.8510831248809	3	14.5	14	0.45781875741193	"4"
"5_11_01"	0.0114656252627143	13.9062476190476	3	14.8333333333333	14	0.395582922952414	"5"
"5_14_01"	0.0397944702715235	13.9777062711864	5	16.1625	14	1.39419957280998	"5"
"50_11_01"	0.0222389117424611	13.892354386414	3	14.5	14	0.781247167708404	"50"
"50_14_01"	0.374751293939946	13.9674479166667	3	21.875	14	13.3289052191671	"50"
"6_12_01"	0.0172583123641491	13.9275889583333	4	14.703125	14	0.48724371597966	"6"
"6_15_01"	0.0644755514908893	14.007545	5	16.6	14	1.88273412155242	"6"
"60_12_01"	0.0748853884943768	13.92365875	5	14.5	14	2.66060135114362	"60"
"60_15_01"	0.133375576165505	13.9937175	5	17.95	14	4.72339915337682	"60"
"8_13_01"	0.120630655746105	13.85945	3	16.0416666666667	14	3.97934656162976	"8"
"10_11_01"	0.0251547010625844	16.9224238095238	3	17.8333333333333	17	0.810998588391965	"10"
"10_14_01"	0.261003798333456	16.8078833333333	3	20.2083333333333	17	8.43636638785065	"10"
"11_12_01"	0.0231511645110099	16.856665625	4	17.5	17	0.626971836020159	"11"
"11_15_01"	0.0167399529618793	16.86818125	5	17.075	17	0.465650373529385	"11"
"12_13_01"	0.0545221778131676	16.8313666666667	3	17.5	17	1.83463754993828	"12"
"3_13_01"	0.0358510347889857	16.828671875	4	17.5	17	1.00050494738919	"3"
"4_13_01"	0.0374659891164248	16.83701875	4	17.875	17	1.25724814919596	"4"
"5_11_01"	0.0406199156772403	16.9299119047619	3	17.5595238095238	17	1.4123877510345	"5"
"5_14_01"	0.0878875956992803	16.791425	4	17.5	17	3.01839378763712	"5"
"50_11_01"	0.0521879314662936	16.9220964285714	3	17.5	17	1.85390163252397	"50"
